SongTitle,Artist
Failure,Breaking Benjamin
Love The Way You Lie,Eminem Featuring Rihanna
Gonorrhea,Lil Wayne Featuring Drake
Law,Yo Gotti Featuring E-40
Bait A Hook,Justin Moore
Long Live A$AP,A$AP Rocky
Night Train,Jason Aldean
My Baby's Guns N' Roses,Brantley Gilbert
Yeah 3X,Chris Brown
Fresh Eyes,Andy Grammer
Blem,Drake
Victorious,Panic! At The Disco
Gas Pedal,Sage The Gemini Featuring IamSu!
The Heart Wants What It Wants,Selena Gomez
"Baby, It's Cold Outside",Glee Cast
Come Get It Bae,Pharrell Williams
Drunk On A Plane,Dierks Bentley
Ghost In This House,Lauren Duski
Real Hitta,Plies Featuring Kodak Black
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Waves,Mr. Probz
Preach,Drake Featuring PARTYNEXTDOOR
Every Time I Hear That Song,Blake Shelton
Turn To You (Mother's Day Dedication),Justin Bieber
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
I'm Different,2 Chainz
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
4 AM,Melanie Fiona
Sleeping With A Friend,Neon Trees
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
Mr. Misunderstood,Eric Church
Out Of My Head,Lupe Fiasco Featuring Trey Songz
Shut Up And Dance,WALK THE MOON
Right Above It,Lil Wayne Featuring Drake
That Don't Sound Like You,Lee Brice
