SongTitle,Title,PeakPos
Daylight,Maroon 5,7
The Big Bang,ROCKMAFIA,100
Shower,Becky G,16
Demons,Imagine Dragons,6
Mine Would Be You,Blake Shelton,28
Stuck Like Glue,Sugarland,17
There For You,Martin Garrix x Troye Sivan,94
Pound Cake / Paris Morton Music 2,Drake Featuring Jay Z,65
Hit The Lights,Jay Sean Featuring Lil Wayne,18
Move,Luke Bryan,50
Amen,Meek Mill Featuring Drake,83
Innocent,Taylor Swift,27
Nasty,Bandit Gang Marco Featuring Dro,41
Children,Justin Bieber,74
Happier,Ed Sheeran,59
X,Chris Brown,98
Waiting For Superman,Daughtry,66
Your Love,Nicki Minaj,14
Part Of Me,Katy Perry,1
First Day Out,Kodak Black,61
Dog Days Are Over,Glee Cast,68
Drunk On You,Luke Bryan,16
Even If It Breaks Your Heart,Eli Young Band,29
She Knows,J. Cole Featuring Amber Coffman & The Cults,90
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,78
L.A.LOVE (la la),Fergie,27
Kings Never Die,Eminem Featuring Gwen Stefani,80
Weston Road Flows,Drake,54
All Too Well,Taylor Swift,80
Applause,Lady Gaga,4
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1
Ten Feet Tall,Afrojack Featuring Wrabel,100
Drink In My Hand,Eric Church,40
Make A Movie,Twista Featuring Chris Brown,71
Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",70
Remind Me,Brad Paisley Duet With Carrie Underwood,17
Do I Make You Wanna,Billy Currington,47
Love You Like A Love Song,Selena Gomez & The Scene,22
Beautiful,Christina Aguilera & Beverly McClellan,87
Guys My Age,Hey Violet,68
Sidewalks,The Weeknd Featuring Kendrick Lamar,27
Tip It On Back,Dierks Bentley,66
Congratulations,Post Malone Featuring Quavo,8
Party,Beyonce Featuring Andre 3000,50
We've Got Tonight,Phillip Phillips,97
Let It Go,James Bay,87
Inventing Shadows,Dia Frampton,20
No Such Thing As A Broken Heart,Old Dominion,46
Twisted,Gorilla Zoe Featuring Lil Jon,77
Sing,Glee Cast,58
Cool Girl,Tove Lo,84
No Complaints,Metro Boomin Featuring Offset & Drake,71
Berzerk,Eminem,3
Used To Love You,Gwen Stefani,52
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",51
If I Didn't Have You,Thompson Square,49
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,10
Set Fire To The Rain,Adele,1
Move That Body,Nelly Featuring T-Pain & Akon,54
One Hell Of An Amen,Brantley Gilbert,44
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3
Million Reasons,Lady Gaga,4
Disaster,JoJo,87
I'd Just Love To Lay You Down,Barrett Baber,92
Right Thru Me,Nicki Minaj,26
Used To This,Future Featuring Drake,14
Bad Ass,Kid Ink Featuring Meek Mill & Wale,90
Naked,Dev & Enrique Iglesias,99
Make Me (Cry),Noah Cyrus Featuring Labrinth,46
Fireball,Pitbull Featuring John Ryan,23
Pirate Flag,Kenny Chesney,46
Say It,Tory Lanez,60
What The World Needs Now Is Love,Broadway For Orlando,86
Happy Little Pill,Troye Sivan,92
Black Barbies,Nicki Minaj X Mike WiLL Made-It,65
Fastest Girl In Town,Miranda Lambert,47
Like A G6,Far*East Movement Featuring Cataracs & Dev,1
Elastic Heart,Sia,17
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,6
Something To Do With My Hands,Thomas Rhett,93
Jersey,Future,87
R.I.P.,Young Jeezy Featuring 2 Chainz,58
Confident,Demi Lovato,41
If I Die Young,The Band Perry,14
Diamonds Dancing,Drake & Future,53
Either Way,Chris Stapleton,89
Exchange,Bryson Tiller,26
Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea,86
Capsize,Frenship & Emily Warren,78
Uma Thurman,Fall Out Boy,22
Who Dat Boy,"Tyler, The Creator",87
Love Never Felt So Good,Michael Jackson & Justin Timberlake,9
Blessings,Big Sean Featuring Drake,93
Drank In My Cup,Kirko Bangz,28
Work,A$AP Ferg,100
Better Than Revenge,Taylor Swift,56
Marcy Me,JAY-Z,90
Keep The Family Close,Drake,68
Rock On,Tucker Beathard,62
Fight Night,Migos,69
Too Hotty,"Quality Control Featuring Quavo, Takeoff & Offset",91
Wanted You More,Lady Antebellum,34
Glass,Thompson Square,84
Holding You Down (Goin In Circles),Jazmine Sullivan,60
John,Lil Wayne Featuring Rick Ross,22
Trap Queen,Fetty Wap,2
Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne,30
Green Light,Lorde,19
Get Low,"Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida",91
Strip That Down,Liam Payne Featuring Quavo,10
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,18
Rock N Roll,Avril Lavigne,91
Classic Man,Jidenna Featuring Roman GianArthur,22
One Last Time,Ariana Grande,13
Curve,Gucci Mane Featuring The Weeknd,67
Bang My Head,David Guetta Featuring Sia & Fetty Wap,76
Wanna Be That Song,Brett Eldredge,46
Give Your Heart A Break,Demi Lovato,16
Got Your Back,T.I. Featuring Keri Hilson,38
Anaconda,Nicki Minaj,2
Good Kisser,Usher,65
Crawling Back To You,Daughtry,41
She Ain't You,Chris Brown,27
Can't Stop The Feeling!,Justin Timberlake,1
Do The John Wall,Troop 41,76
FML,Kanye West,84
Stitch By Stitch,Javier Colon,17
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",51
Zoom,Future,99
The Language,Drake,51
Sparks Fly,Taylor Swift,17
Love Don't Run,Steve Holy,78
Love Me Like You Mean It,Kelsea Ballerini,45
The Fix,Nelly Featuring Jeremih,62
Diamonds,Rihanna,1
When She Says Baby,Jason Aldean,38
Turn Up The Music,Chris Brown,10
A Holly Jolly Christmas,Burl Ives,46
New Day,50 Cent Featuring Dr. Dre & Alicia Keys,79
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,79
The Ballad Of Mona Lisa,Panic! At The Disco,89
Acapella,Karmin,72
Way Too Cold,Kanye West Featuring DJ Khaled,86
Roller Coaster,Luke Bryan,47
Road Less Traveled,Lauren Alaina,67
The Other Side,Jason Derulo,18
Church Bells,Carrie Underwood,43
22,Taylor Swift,20
No Sleeep,Janet Featuring J. Cole,63
ABC,Glee Cast,88
Main Chick,Kid Ink Featuring Chris Brown,60
Slippery,Migos Featuring Gucci Mane,29
Humble And Kind,Tim McGraw,30
The Difference,Meek Mill Featuring Quavo,84
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,29
Firework,Glee Cast,34
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,56
Dog Days Are Over,Vicci Martinez,68
Team,Iggy Azalea,42
One More Drinkin' Song,Jerrod Niemann,72
Please,Sawyer Fredericks,37
Madness,Muse,45
Fish,Craig Campbell,83
The Body,Wale Featuring Jeremih,87
Duckworth.,Kendrick Lamar,63
679,Fetty Wap Featuring Remy Boyz,4
Come Thru,Drake,87
Invisible,Hunter Hayes,44
Raise 'Em Up,Keith Urban Featuring Eric Church,56
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,91
Some Nights,fun.,3
This Is How We Do,Katy Perry,24
Beauty And The Beast,Ariana Grande & John Legend,87
Beachin',Jake Owen,26
Castaway,Zac Brown Band,96
Ice,Kelly Rowland Featuring Lil Wayne,88
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,100
Sexy And I Know It,Glee Cast Featuring Ricky Martin,81
One Of Those Nights,Tim McGraw,32
Lonely Eyes,Chris Young,50
Parachute,Chris Stapleton,78
Show Me How You Burlesque,Christina Aguilera,70
I Hate U I Love U,gnash Featuring Olivia O'Brien,10
Drink To That All Night,Jerrod Niemann,34
Put You In A Song,Keith Urban,53
Only Prettier,Miranda Lambert,61
Give Me Back My Hometown,Eric Church,36
El Verdadero Amor Perdona,Mana Featuring Prince Royce,100
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,97
Sunny And 75,Joe Nichols,39
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,76
Alive,Krewella,56
Roman Reloaded,Nicki Minaj Featuring Lil Wayne,70
Believe,Mumford & Sons,31
A Woman Like You,Lee Brice,33
Don't Rush,Kelly Clarkson Featuring Vince Gill,87
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,86
Turn Down For What,DJ Snake & Lil Jon,4
Blow Me (One Last Kiss),P!nk,5
Time Of Our Lives,Pitbull & Ne-Yo,9
Heavy,Linkin Park Featuring Kiiara,45
Me And My Broken Heart,Rixton,14
Fall Down,will.i.am Featuring Miley Cyrus,58
Small Town Boy,Dustin Lynch,36
Do I Wanna Know?,Arctic Monkeys,70
Rolling In The Deep,Adele,29
No Mediocre,T.I. Featuring Iggy Azalea,33
Star Of The Show,Thomas Rhett,45
Fast,Luke Bryan,58
Best I Ever Had,Gavin DeGraw,75
Marvins Room,Drake,21
Rich $ex,Future,100
Drinkin' Too Much,Sam Hunt,89
My Sh*t,A Boogie Wit da Hoodie,86
TTYLXOX,Bella Thorne,97
U With Me?,Drake,44
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,20
Gone,Kanye West Featuring Cam'ron & Consequence,18
Beibs In The Trap,Travis Scott,90
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,24
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",11
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,77
Hey Pretty Girl,Kip Moore,41
Feel No Ways,Drake,53
Break Free,Ariana Grande Featuring Zedd,4
Where Do Broken Hearts Go,One Direction,88
Don't Touch My Hair,Solange Featuring Sampha,91
Mmm Yeah,Austin Mahone Featuring Pitbull,49
Ultralight Beam,Kanye West,67
1942 Flows,Meek Mill,83
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,9
Neighbors,J. Cole,13
Body Say,Demi Lovato,84
Little Miss,Sugarland,71
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16
Coffee,Miguel,78
Mask Off,Future,5
Setting Fires,The Chainsmokers Featuring XYLO,71
I Would Die 4 U,Prince And The Revolution,8
B.E.D.,Jacquees,69
Pills N Potions,Nicki Minaj,24
You Look Good,Lady Antebellum,59
Gorilla,Bruno Mars,22
Little Talks,Of Monsters And Men,20
Neva End,Future,52
Clique,"Kanye West, Jay-Z, Big Sean",12
Yeah Boy,Kelsea Ballerini,65
Sing!,Glee Cast,87
Tonight Is The Night,Outasight,38
Last Friday Night,Glee Cast,72
She's Not There,Glee Cast,87
Partition,Beyonce,23
Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",99
What's My Name?,Rihanna Featuring Drake,1
Part II (On The Run),Jay Z Featuring Beyonce,77
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,16
Litty,Meek Mill Featuring Tory Lanez,49
Just Fishin',Trace Adkins,61
Toot It And Boot It,YG,67
How To Love,Christina Grimmie,79
Escapate Conmigo,Wisin Featuring Ozuna,63
Bright,Echosmith,40
Love On Top,Beyonce,20
Glorious,Macklemore Featuring Skylar Grey,49
DNA,BTS,67
Frick Park Market,Mac Miller,60
Rockin',The Weeknd,44
Anything Like Me,Brad Paisley,48
Snapback,Old Dominion,50
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,31
Heart Skips A Beat,Olly Murs Featuring Chiddy Bang,96
Liquor,Chris Brown,60
Rolling In The Deep,Glee Cast Featuring Jonathan Groff,29
No Promises,A Boogie Wit da Hoodie,74
Outside,Calvin Harris Featuring Ellie Goulding,29
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",84
Jump Out The Window,Big Sean,76
Purpose,Justin Bieber,43
Pt. 2,Kanye West,54
I Drive Your Truck,Lee Brice,47
Perfect Illusion,Lady Gaga,15
Guts Over Fear,Eminem Featuring Sia,22
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics",86
Real Friends,Kanye West,92
Sleep Without You,Brett Young,47
Lookin' For That Girl,Tim McGraw,85
Stereo Love,Edward Maya & Vika Jigulina,16
One Thing,One Direction,39
The Edge Of Glory,Lady Gaga,3
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",51
Roller Coaster,Justin Bieber,47
I Really Like You,Carly Rae Jepsen,39
0 To 100 / The Catch Up,Drake,35
Turn On The Lights,Future,50
Neon,Chris Young,92
99 Problems,Tony Lucca,58
Live A Little,Kenny Chesney,61
Signs,Drake,36
Since Way Back,Drake Featuring PARTYNEXTDOOR,70
Yellow Flicker Beat,Lorde,34
Kiss Me Kiss Me,5 Seconds Of Summer,28
Highway Don't Care,Tim McGraw With Taylor Swift,22
Pink + White,Frank Ocean,84
I Lived,OneRepublic,32
Heroe Favorito,Romeo Santos,77
For Free,DJ Khaled Featuring Drake,13
Oui,Jeremih,19
Do It Like Me,DLOW,45
Ghost,Ella Henderson,21
Shot For Me,Drake,100
Fast Lane,Bad Meets Evil,32
Wet Dreamz,J. Cole,61
Picasso Baby,JAY-Z,91
Wanted,Hunter Hayes,16
(It) Feels So Good,Steven Tyler,35
Whistle,Flo Rida,1
Butterfly Effect,Travis Scott,51
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,38
Gangnam Style,PSY,2
Bon Appetit,Katy Perry Featuring Migos,59
This Town,Niall Horan,20
Knock Knock,Mac Miller,88
Rhythm of Love,Plain White T's,38
Baby I,Ariana Grande,21
Black Widow,Iggy Azalea Featuring Rita Ora,3
Human Nature,Glee Cast,56
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,90
Someone Else,Miley Cyrus,93
Different For Girls,Dierks Bentley Featuring Elle King,42
Chainsaw,The Band Perry,86
All I Want For Christmas Is You,Michael Buble,99
Dive,Ed Sheeran,49
Angel,Javier Colon,87
Blow A Bag,Future,95
Blame It (On The Alcohol),Glee Cast,55
All About It,Hoodie Allen Featuring Ed Sheeran,71
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,92
Lips Are Movin,Meghan Trainor,4
Hit It Again,3OH!3,66
Talk That Talk,Rihanna Featuring Jay-Z,31
Wake Up Lovin' You,Craig Morgan,99
Conscience,Kodak Black Featuring Future,93
Headlines,Drake,13
Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,18
Nobody To Blame,Chris Stapleton,68
Show Out,Juicy J Featuring Big Sean & Young Jeezy,75
Make It Rain,Ed Sheeran,92
A Little Too Much,Shawn Mendes,94
Diana,One Direction,11
Nothing,The Script,32
You,Romeo Santos,97
My Man,Glee Cast,94
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",81
Draco,Future,46
We Dem Boyz,Wiz Khalifa,43
If Heaven Wasn't So Far Away,Justin Moore,49
What The Hell,Avril Lavigne,11
Purple Rain,Prince And The Revolution,2
Acquainted,The Weeknd,60
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,4
Seen It All,Jeezy Featuring Jay Z,85
Starboy,The Weeknd Featuring Daft Punk,1
Wanna Be Startin' Somethin',Glee Cast,78
Humble.,Kendrick Lamar,1
Life Is Worth Living,Justin Bieber,67
Greatest Love Of All,Whitney Houston,1
Met Gala,Gucci Mane Featuring Offset,88
Mama Said,Lukas Graham,36
Made In America,Toby Keith,40
KMT,Drake Featuring Giggs,48
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,30
Up All Night,Blink-182,65
Maps,Maroon 5,6
Why,Michelle Chamuel,92
Lego House,Ed Sheeran,42
Stay The Night,Zedd Featuring Hayley Williams,94
A Case Of You,James Wolpert,72
Nikes,Frank Ocean,79
Sorry Not Sorry,Bryson Tiller,67
Cut It,O.T. Genasis Featuring Young Dolph,35
6 Man,Drake,97
Explosions,Ellie Goulding,100
The Way,Ariana Grande Featuring Mac Miller,9
Sweet Little Somethin',Jason Aldean,71
Hold My Hand,Jess Glynne,86
Born To Fly,Danielle Bradbery,75
What Are Words,Chris Medina,83
Starships,Nicki Minaj,5
Parking Lot Party,Lee Brice,62
The Wind,Zac Brown Band,70
Free Smoke,Drake,18
Love More,Chris Brown Featuring Nicki Minaj,23
Loud,Mac Miller,53
Voices,Chris Young,53
Night Changes,One Direction,31
Careless Whisper,Wham! Featuring George Michael,1
Pompeii,Bastille,5
Too Close,Alex Clare,94
Moolah,Young Greatness,85
Don't Think They Know,Chris Brown Featuring Aaliyah,81
Look At My Dab,Migos,87
Mean To Me,Brett Eldredge,53
Don't Ya,Brett Eldredge,30
You Know You Like It,DJ Snake & AlunaGeorge,13
It's Good,Lil Wayne Featuring Drake & Jadakiss,79
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2
My Boo,Ghost Town DJ's,27
You And I,Lady Gaga,6
I Cry,Flo Rida,6
The Way Life Goes,Lil Uzi Vert,39
Sweet Love,Chris Brown,89
Same Old Love,Selena Gomez,5
Called Out In The Dark,Snow Patrol,78
The Shape I'm In,Joe Nichols,91
Whiskey,Jana Kramer,94
Best Mistake,Ariana Grande Featuring Big Sean,49
All The Pretty Girls,Kenny Chesney,63
Foldin Clothes,J. Cole,30
Cold One,Eric Church,88
Drunk In Love,Beyonce Featuring Jay Z,2
Live While We're Young,One Direction,3
How Would You Feel (Paean),Ed Sheeran,41
Lights Down Low,MAX Featuring gnash,90
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1
Stay,Rihanna Featuring Mikky Ekko,28
See No More,Joe Jonas,92
Omen,Disclosure Featuring Sam Smith,64
Shake It Out,Glee Cast,72
Don't Judge Me,Chris Brown,67
Get On Your Knees,Nicki Minaj Featuring Ariana Grande,88
Want To Want Me,Jason Derulo,5
Just Keep Breathing,WE the Kings,92
Shades Of Cool,Lana Del Rey,79
Dibs,Kelsea Ballerini,58
Mercy,Shawn Mendes,95
Fast Car,Jonas Blue Featuring Dakota,98
Undefeated,Jason Derulo,90
Country Boy,Aaron Lewis Featuring George Jones & Charlie Daniels,87
Darlin' Don't Go,Sundance Head,67
First Kiss,Kid Rock,66
All I Want For Christmas Is You,Mariah Carey,99
Halo,Jordan Smith,88
Dirt Road Anthem,Jason Aldean,7
Let Me Down Easy,Billy Currington,46
Automatic,Miranda Lambert,35
Best Friend,Young Thug,45
Great Is Thy Faithfulness,Jordan Smith,30
Give In To Me,Garrett Hedlund & Leighton Meester,79
Havana,Camila Cabello Featuring Young Thug,7
Down,Fifth Harmony Featuring Gucci Mane,42
Sorry,Beyonce,97
Burn,Ellie Goulding,13
Ready Or Not,Bridgit Mendler,49
Welcome Christmas,Glee Cast,59
Been You,Justin Bieber,81
Halfway Off The Balcony,Big Sean,74
Nightmares Of The Bottom,Lil Wayne,90
Turn The Page,The Swon Brothers,90
Locked Out Of Heaven,Bruno Mars,1
Learn To Let Go,Kesha,97
Night's On Fire,David Nail,81
Countdown,Beyonce,71
Relationship,Young Thug Featuring Future,65
Burnin' It Down,Jason Aldean,12
Out Of The Woods,Taylor Swift,18
First Love,Jennifer Lopez,87
Carry On,XXXTentacion,95
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,36
Your Side Of The Bed,Little Big Town,96
I Believe I Can Fly,Jermaine Paul,83
Chloe (You're The One I Want),Emblem3,93
Phenomenal,Eminem,47
Love Runs Out,OneRepublic,15
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",54
Famous,21 Savage,94
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,66
Make It Rain,Matt McAndrew,92
Good Girls,5 Seconds Of Summer,34
Who Booty,Jonn Hart Featuring IamSU!,66
Come & Get It,Selena Gomez,6
HeadBand,B.o.B Featuring 2 Chainz,53
Hollywood,Michael Buble,55
No Flex Zone,Rae Sremmurd,36
Culture,Migos Featuring DJ Khaled,93
Random,G-Eazy,94
We Got The Beat,Glee Cast,83
F**kin' Perfect,P!nk,2
Summertime Sadness,Lana Del Rey & Cedric Gervais,6
Love Me Harder,Ariana Grande & The Weeknd,7
Sexy People (The Fiat Song),Arianna Featuring Pitbull,97
Amnesia,5 Seconds Of Summer,16
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,86
I Dont Really Care,Waka Flocka Flame Featuring Trey Songz,64
Babel,Mumford & Sons,60
Untouchable,YoungBoy Never Broke Again,95
Ain't It Fun,Paramore,10
Crown,JAY-Z,100
Get It Started,Pitbull Featuring Shakira,89
Raspberry Beret,Prince And The Revolution,2
Questions,Chris Brown,84
Nothing Is Promised,Mike WiLL Made-It x Rihanna,75
Man Of The Year,ScHoolboy Q,62
Just The Way You Are,Bruno Mars,40
Somebody Else Will,Justin Moore,59
All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,43
Get Right Witcha,Migos,72
Try,Colbie Caillat,55
Sun Daze,Florida Georgia Line,44
Better Than I Know Myself,Adam Lambert,76
Plastic Bag,Drake & Future,78
One More Night,Maroon 5,1
Best Friend's Brother,Victorious Cast Featuring Victoria Justice,86
If I Had You,Adam Lambert,30
I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross,78
Bo$$,Fifth Harmony,43
Hey Porsche,Nelly,42
Are You Happy Now?,Cassadee Pope,95
Rolex,Ayo & Teo,20
Sweat,Bow Wow Featuring Lil Wayne,48
Good Thing,Sage The Gemini Featuring Nick Jonas,75
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,41
I Can Take It From There,Chris Young,63
Stoner,Young Thug,47
Fall For Your Type,Jamie Foxx Featuring Drake,50
Chanel,Frank Ocean,72
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,50
The Worst,Jhene Aiko,43
Gyalchester,Drake,29
Youth,Troye Sivan,23
Feelin' It,Scotty McCreery,84
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,75
Girls Just Want To Have Fun,Glee Cast,98
Why Wait,Rascal Flatts,48
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,84
Run Me Dry,Bryson Tiller,91
Bound 2,Kanye West,12
"Work Hard, Play Hard",Wiz Khalifa,17
Bad And Boujee,Migos Featuring Lil Uzi Vert,1
I Dreamed A Dream,Anne Hathaway,69
Heart Like Mine,Miranda Lambert,44
It Was Always You,Maroon 5,45
Lessons In Love,Kaskade Featuring Neon Trees,94
Back To December,Taylor Swift,6
Radioactive,Imagine Dragons,37
Now & Later,Sage The Gemini,93
Go Flex,Post Malone,76
Whisper,Chase Rice,94
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,80
Kick The Dust Up,Luke Bryan,26
Crazy Beautiful Life,Ke$ha,93
Stockholm Syndrome,One Direction,99
Skyscraper,Demi Lovato,10
Body,Dreezy Featuring Jeremih,62
Black And Yellow,Wiz Khalifa,1
Remember You,Wiz Khalifa Featuring The Weeknd,63
Crushin' It,Brad Paisley,66
Money On You,Chris Blue,66
On My Level,Wiz Khalifa Featuring Too $hort,52
Hate U Love U,Olivia O'Brien,99
Say You Won't Let Go,James Arthur,11
Beautiful Drug,Zac Brown Band,52
Die For You,The Weeknd,43
Round Of Applause,Waka Flocka Flame Featuring Drake,86
Down On Me,Jeremih Featuring 50 Cent,4
Think A Little Less,Michael Ray,54
Planez,Jeremih Featuring J. Cole,44
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",81
Jimmy Choo,Fetty Wap,65
Heathens,twenty one pilots,2
"Where It's At (Yep, Yep)",Dustin Lynch,42
Marijuana,Kid Cudi,54
The Walker,Fitz And The Tantrums,67
I Am Beautiful,Candice Glover,93
Young Girls,Bruno Mars,32
Suit & Tie,Justin Timberlake Featuring JAY Z,3
Attention,Charlie Puth,67
Buzzkill,Luke Bryan,74
What Do I Know?,Ed Sheeran,83
White Iverson,Post Malone,14
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,14
Little Lion Man,Mumford & Sons,45
Get Ugly,Jason Derulo,52
Everyday,Ariana Grande Featuring Future,92
Take Me To Church,Hozier,92
Bugatti,Ace Hood Featuring Future & Rick Ross,33
Truck Yeah,Tim McGraw,57
Love And War,Tamar Braxton,57
X,Lil Uzi Vert,98
Make You Feel My Love,Glee Cast,84
Way Out Here,Josh Thompson,85
Deja Vu,Lauren Duski,75
Issues,Julia Michaels,77
I Wouldn't Be A Man,Josh Turner,92
T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,36
Location,Khalid,16
Bad Romance,Lady Gaga,2
Show Me,Kid Ink Featuring Chris Brown,13
Worth It,Fifth Harmony Featuring Kid Ink,12
Changed It,Nicki Minaj & Lil Wayne,71
Mirror,Lil Wayne Featuring Bruno Mars,16
Man In The Mirror,Glee Cast,76
Outlaw,50 Cent,87
Nobody Else But You,Trey Songz,92
Wish You Were Here,Avril Lavigne,65
Centuries,Fall Out Boy,10
Masterpiece,Jessie J,65
Save It For A Rainy Day,Kenny Chesney,54
Compass,Lady Antebellum,46
Blood On The Leaves,Kanye West,89
Dear Future Husband,Meghan Trainor,14
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",44
Hair,Lady Gaga,12
I Do,Colbie Caillat,61
Space Oddity,David Bowie,15
That's Why I Pray,Big & Rich,82
Somebody,Bridgit Mendler,89
Word Crimes,"""Weird Al"" Yankovic",39
Where I Come From,Montgomery Gentry,71
False Alarm,The Weeknd,55
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,56
Landslide,Glee Cast Featuring Gwyneth Paltrow,23
Fight For You,Jason Derulo,83
Mi Gente,J Balvin & Willy William Featuring Beyonce,3
Blank Space,I Prevail,90
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,7
Blessings,Chance The Rapper Featuring Ty Dolla $ign,93
No Type,Rae Sremmurd,16
Lost Boy,Ruth B,24
Please Remember Me,Danielle Bradbery,91
Tornado,Little Big Town,51
Little White Church,Little Big Town,59
Back Up,DeJ Loaf Featuring Big Sean,47
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43
Everything 1K,Kodak Black,84
Representin',Ludacris Featuring Kelly Rowland,97
Blow,Ke$ha,7
Hit Or Miss,Jacob Sartorius,72
How Far I'll Go,Auli'i Cravalho,56
My Church,Maren Morris,50
These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",94
Venus,Lady Gaga,32
Shots,Imagine Dragons,75
Where Have You Been,Rihanna,5
Errrbody,Yo Gotti,98
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,12
Fire Flame,Birdman Featuring Lil Wayne,64
Dynamite,Taio Cruz,2
Heartbeat,Carrie Underwood,42
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,38
Barcelona,Ed Sheeran,96
Lose My Mind,Brett Eldredge,48
Company,Justin Bieber,53
Best Thing I Never Had,Beyonce,16
Wit Me,T.I. Featuring Lil Wayne,80
Runaway,Kanye West Featuring Pusha T,12
All Your Fault,Big Sean Featuring Kanye West,80
Somewhere With You,Kenny Chesney,31
Get Low,Dillon Francis & DJ Snake,91
Stop! In The Name Of Love / Free Your Mind,Glee Cast,38
Red Nose,Sage The Gemini,52
Honest,Future,77
Brighter Than The Sun,Colbie Caillat,47
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",7
Come With Me Now,KONGOS,31
Can't Sleep Love,Pentatonix,99
Burnin' Up,Jessie J Featuring 2 Chainz,86
There's Nothing Holdin' Me Back,Shawn Mendes,6
LIFTED,CL,94
